elavskode,matrnr,esr_ejdnr
20151,15ei,1510029639
20151,15ek,1510029655
20151,15eh,1510029647
20151,23æ,1510010237
20151,23ey,1510129706
20151,15el,1510029663
20151,23f,1510010245
20151,15cf,1510027733
20151,15f,1510010245
20151,15em,1510029671
20151,15cl,1510027717
20151,175,1510010202
20151,15eæ,1510029698
20151,15eb,1510027695
20151,15ds,1510010229
20151,178,1510085512
20151,15cd,1510027679
20151,15cm,1510010164
20151,15cn,1510010210
20151,12le,1510027652
20151,23ep,1510085520
20151,15d,1510010199
20151,15co,1510010172
20151,19bu,1510010148
20151,15e,1510010156
20151,12lg,1510043453
20151,12kq,1510043445
20151,12kp,1510043429
20151,121ce,1510031153
20151,121cb,1510031161
20151,121bf,1510031153
20151,8gq,1510135692
20151,8gp,1510135684
20151,8gr,1510135706
20151,121bt,1510002080
20151,8go,1510135676
20151,8gn,1510135668
20151,8gs,1510135714
20151,121e,1510031102
20151,8gt,1510135722
20151,8gm,1510135641
20151,8ha,1510135811
20151,8gu,1510135730
20151,8lg,1510135757
20151,8gø,1510135803
20151,8lf,1510135749
20151,8gv,1510135749
20151,8le,1510135730
20151,8ld,1510135722
20151,8lc,1510135714
20151,8gæ,1510135781
20151,8lh,1510135765
20151,8gl,1510135633
20151,8gx,1510135757
20151,8gz,1510135773
20151,121ch,1510031129
20151,8gy,1510135765
20151,8gk,1510135625
20151,19eu,1510010016
20151,19cq,1510009395
20151,19bs,1510010032
20151,8gd,1510135404
20151,19af,1510024866
20151,19cm,1510009433
20151,19fd,1510009441
20151,19cn,1510009417
20151,19eq,1510009913
20151,19ca,1510009387
20151,19ag,1510009948
20151,19fe,1510009956
20151,19ed,1510009972
20151,19ah,1510009980
20151,19ai,1510010008
20151,19es,1510010059
20151,19bf,1510010067
20151,19cø,1510010083
20151,19bv,1510010105
20151,19bl,1510010121
20151,12l,1510009999
20151,128b,1510010075
20151,12m,1510010024
20151,12lc,1510018688
20151,128c,1510010091
20151,12km,1510010113
20151,12o,1510006922
20151,12kn,1510043380
20151,12f,1510006949
20151,12ko,1510043402
20151,12lr,1510043399
20151,128a,1510010040
20151,121ct,1510123511
20151,121c,1510122140
20151,18cl,1510118976
20151,121cp,1510123465
20151,18ck,1510118992
20151,18cm,1510119034
20151,18cn,1510119050
20151,18dv,1510009735
20151,121cs,1510123503
20151,121bc,1510031226
20151,121cy,1510123562
20151,121cq,1510123473
20151,121cm,1510000029
20151,121bi,1510030408
20151,121cr,1510123481
20151,121cø,1510123562
20151,177,1510000363
20151,121f,1510031234
20151,121i,1510030394
20151,121cl,1510030378
20151,121h,1510030351
20151,121g,1510031218
20151,121by,1510035469
20151,8fx,1510134742
20151,8fz,1510134734
20151,121ad,1510030386
20151,121ay,1510030343
20151,121ae,1510030335
20151,121az,1510031188
20151,8fy,1510134726
20151,121cd,1510031196
20151,19am,1510036864
20151,19hd,1510150062
20151,19eh,1510024912
20151,19k,1510024890
20151,19an,1510036821
20151,19m,1510038441
20151,19ec,1510024904
20151,19u,1510024874
20151,19x,1510036805
20151,19gu,1510129951
20151,19n,1510038433
20151,19gl,1510086861
